"","x"
"217","@izzynobre O Elon Musk vai perder uma grana com a SpaceX"
"218","@lyochim It's a SpaceX rocket. They are reusable. ;)"
"219","SpaceX Attempting Launch of 1st Orbit Class Recycled Rocket March 30 - Watch Live - Universe Today https://t.co/GRTQ5MNGha"
"220","RT @UCI_HyperXite: We are very excited to start the countdown for SpaceX Competition Weekend II! Competition date: 25-27 August 2017! https…"
"221","I could watch this @SpaceX landing compilation from @verge all day. https://t.co/IL4r6krf9A"
"222","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"223","This Video Shows Every Single SpaceX Falcon 9 Landing Attempt Thus Far - https://t.co/33CLAR5cWE"
"224","SpaceX’s Dragon supply ship failed to rendezvous with ISS, will try again Thursday https://t.co/7BO8bf8cvS"
"225","SpaceX is taking SpaceVR's cameras into orbit to deliver the astronaut experience to everyone https://t.co/2jwmdiDSiM @DigitalReview_"
"226","SpaceX is taking SpaceVR's cameras into orbit to deliver the astronaut experience to everyone https://t.co/iyXrdXfjOU @DigitalReview_"
"227","RT @SpaceKSCBlog: The @SpaceX Dragon #COTS2 chillin' in @ExploreSpaceKSC IMAX West. https://t.co/wEXte51m6p"
"228","I added a video to a @YouTube playlist https://t.co/ow7NbuWU0g Elon Musk and his SpaceX team, witness the historic landing of a Falcon"
"229","И первая ступень РН #falcon9 #SpaceX Илона Маска приземляется на такую платформу и не разбрасывает мусор и гептил о… https://t.co/RUpsFNExl0"
"230","#EvetZaferMilletindir siz bu hizda butun dunyayi fetedersiniz yuruyun be kim tutar sizi ������ https://t.co/Ve1pk2w9a0"
"231","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"232","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"233","Elon Musk บุคคลแห่งศตวรรษ

เมื่อวานนี้ SpaceX ของ Elon Musk... https://t.co/UdUodhbSfX"
"234","RT @SpaceX: Recovery teams en route to Dragon. https://t.co/5aiGcX0vS2"
"235","RT @SpaceX: Static fire test complete. Targeting Thursday, March 30 for Falcon 9 launch of SES-10. https://t.co/0tZ7u6gngI"
"236","RT @SpaceX: T-60 seconds until launch  → https://t.co/gtC39uBC7z https://t.co/jv3372rCUf"
"237","RT @SpaceX: Successful deployment of SES-10 to geostationary transfer orbit confirmed. https://t.co/FkVoUYSsmq"
"238","RT @SpaceX: More photos from today’s Falcon 9 launch and first stage landing → https://t.co/095WHX44BX https://t.co/c3UYhMrDec"
"239","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"240","@Oliv_Thompson Take a gander at that Flickr photos with more elegance using Flickrock! https://t.co/MLRDtq72e4"
"241","Elon Musk knew nothing about rockets when he started SpaceX. Think about that when you delay your dream (again)."
"242","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"243","RT @HectoScience: #Space https://t.co/rvjUb04GRh SpaceX Has Released Incredible New Footage of Its Historic Rocket Landing - Scienc… https:…"
"244","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"245","RT @HectoScience: #Space https://t.co/rvjUb04GRh SpaceX Has Released Incredible New Footage of Its Historic Rocket Landing - Scienc… https:…"
"246","#Space https://t.co/rvjUb04GRh SpaceX Has Released Incredible New Footage of Its Historic Rocket Landing - Scienc… https://t.co/HmueSU0gp9"
"247","RT @mashabletech: This VR camera rig is about to catch a ride into space. https://t.co/OvkXIDaVIX"
"248","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"249","How SpaceX Became Shops"
"250","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/hrvzcgGzGQ"
"251","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"252","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"253","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"254","Going #smallsat, the case for a #ADF satellite capability @glrowlands1 @RocketLabUSA @SpaceX @blueorigin @OrbitalATK https://t.co/2BZkqomkMn"
"255","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"256","RT @hyper_pod: SpaceX announces date for second Hyperloop pod competition https://t.co/tMx29vtOmq https://t.co/f2Nk4oUxqi"
"257","@BP_Hutch @Gemstonian @GalileoMoon @TheChadColby @Astro_Clay @NASA @ShuttleAlmanac @SpaceX @universetoday… https://t.co/b6WhKYwEE6"
"258","RT @Pre_Woman: 火星に移住しませんかという募集に20万人が殺到。NASAも本気で、「夢物語」ではなくなりつつあるよう。イーロン・マスクの、SpaceXの話も→火星に移住できるまで、あと33年～気になる予算は「マンション購入」程度？ https://t.co/fkf…"
"259","Why CEOs Need to Embrace Social Media (and How to Do it) - While Tesla and SpaceX exude futurism, prestige, and... https://t.co/5L8F4U69pZ"
"260","SpaceX is Already Planning the Hyperloop Pod Competition II - Based on the high-quality submissions and overwhe... https://t.co/4ha9H8ukGs"
"261","#SpaceVR, #SpaceX to launch #VR camera into space, bringing the astronaut experience to all - https://t.co/8ovBoiB4qH #GoogleAlerts"
"262","RT @ElonMuskNewsOrg: Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt: https://t…"
"263","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/SarG6ZBJZ6 https://t.co/uVKJXEMavW"
"264","Excited to visit Mars aboard SpaceX's Big F***ing Rocket one day? So are we. Until then, we made this shirt:… https://t.co/bmYTwYRhB4"
"265","Belt up - we are going to space! https://t.co/y3VU383OQ1 #VR #Virtualreality #spacetravel #lifeofastronaunt"
"266","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"267","RT @astronomymedia: SpaceX has announced that it will fly two paying citizens around the Moon in late-2018 in a Dragon spacecraft.

https:/…"
"268","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"269","RT @TheRealBuzz: Hey @elonmusk - I hope you don't mind but the @AFThunderbirds and I buzzed your @SpaceX launchpad yesterday. Pad 39-A! htt…"
"270","RT @TheRealBuzz: Hey @elonmusk - I hope you don't mind but the @AFThunderbirds and I buzzed your @SpaceX launchpad yesterday. Pad 39-A! htt…"
"271","RT @deanwithey: Elon Musk knew nothing about rockets when he started SpaceX. Think about that when you delay your dream (again)."
"272","@Olivia_Simps Would you like to look that Flickr photos with style using Flickrock? https://t.co/MLRDtq72e4"
"273","RT @SpaceX: More photos from today’s Falcon 9 launch and first stage landing → https://t.co/095WHX44BX https://t.co/c3UYhMrDec"
"274","Pertama dalam sejarah: SpaceX berhasil meluncurkan dan mendaratkan kembali roket daur ulang mereka! https://t.co/ShJi8qYNCm"
"275","RT @Inc: Elon Musk Runs Tesla and SpaceX on 6 Hours of Sleep https://t.co/qq9m46Zg8k"
"276","Artwork for our new EP, Thin Walls #trippy #SpaceX #RockHall2017 #Stonehenge #beyond https://t.co/wMhw4LlRq8"
"277","#LITechNews: SpaceX explains why its rocket exploded in Sept. #Facebook #Video https://t.co/NGPO2jZTbl"
"278","@SpaceKSCBlog @SpaceX @ExploreSpaceKSC @SpaceX must have a dedicated team to trucking the COTS2+ capsule around to different locations..."
"279","'I Hope They Take a Camera': Astronaut Jim Lovell Talks SpaceX Moon Mission
https://t.co/vslx2oDZ01 https://t.co/KDvdifYcAh"
"280","Now everyone who's always wanted to be an astronaut or just experience outer space can! @spacex https://t.co/XLoD14yy6H"
"281","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"282","RT @ElonMuskNewsOrg: SpaceX prepping for two launches from KSC, landing at Cape https://t.co/CgpiPWSccq"
"283","Líbí se mi video @YouTube https://t.co/17Nx4oNPMi The Interplanetary Transport System: SpaceX's Plan to Build a Bridge to Mars"
"284","火星に移住しませんかという募集に20万人が殺到。NASAも本気で、「夢物語」ではなくなりつつあるよう。イーロン・マスクの、SpaceXの話も→火星に移住できるまで、あと33年～気になる予算は「マンション購入」程度？… https://t.co/7rsHMQZidy"
"285","火星に移住しませんかという募集に20万人が殺到。NASAも本気で、「夢物語」ではなくなりつつあるよう。イーロン・マスクの、SpaceXの話も→火星に移住できるまで、あと33年～気になる予算は「マンション購入」程度？… https://t.co/5RpLNnVqep"
"286","You can soon feel and experience the life of an astronaut https://t.co/53iLCKmZ8N"
"287","We are very excited to start the countdown for SpaceX Competition Weekend II! Competition date: 25-27 August 2017! https://t.co/Pl9zH0bDvy"
"288","RT @BP_Hutch: @Gemstonian @GalileoMoon @TheChadColby @Astro_Clay @NASA @ShuttleAlmanac @SpaceX @universetoday @JuleahKaliski Here's a good…"
"289","Gostei de um vídeo @YouTube https://t.co/AJvWG0OJJY VIVO: Primeiro lançamento de um foguete 'usado' da SpaceX"
"290","@sophiestuart961 Have a look at that Flickr photos on their own gallery using Flickrock! https://t.co/MLRDtq72e4"
"291","Trending Worldwide SpaceX to Grow Super Potatoes on Mars: 5 Things You Didn’t Know https://t.co/32sFmdJwBC"
"292","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/GndJM0fdVw"
"293","RT @SalihSarikaya: SpaceX is taking SpaceVR’s cameras into orbit to deliver the astronaut experience to everyone through VR https://t.co/6y…"
"294","RT @wolfejosh: Skeptics ������
True believers ������...Got fleeced
New equity wasnt for ""growth"" but to bail out Elon + SpaceX personal holding of So…"
"295","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"296","SPACEX Moon Mission in Hindi चंद्रमा के चारों ओर की पहली निजी"
"297","I added a video to a @YouTube playlist https://t.co/PF8uRH95Yf SPACEX Moon Mission in Hindi चंद्रमा के"
"298","RT @SpaceKSCBlog: The @SpaceX Dragon #COTS2 chillin' in @ExploreSpaceKSC IMAX West. https://t.co/wEXte51m6p"
"299","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"300","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"301","The @SpaceX Dragon #COTS2 chillin' in @ExploreSpaceKSC IMAX West. https://t.co/wEXte51m6p"
"302","RT @Rainmaker1973: .@SpaceX #Falcon9 Stage 1 landing on ""Of Course I Still Love You"" drone ship after delivering #SES10 into orbit https://…"
"303","i believe sam dyson wants to go to space, @SpaceX"
"304","I really gotta stop telling myself it can't be that bad before watching videos on the internet. 
They usually are that bad."
"305","SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/4h76G0j7CQ… https://t.co/4jgrZlqIPK"
"306","RT @Step_Holt: ""#SpaceX F9 - #Launch and #landing profile for the launch this evening"" #space #cosmos #nasa #universe https://t.co/epdJFC89…"
"307","@elonmusk Googled spacex to check for the next launch and Google has a sponsored link for the falcon9 explosion last year. #Sabotage"
"308","@apple @SpaceX@BMW bir adet mühürsüz odtü bilgisayar mühendisliği bir adet odtü bilgisayar mühendisliği diplomam var tekliflerinizi bekliyom"
"309","@Sangeet40820491 Did SpaceX land on Mars yet? We'll tell you when it happens. Subscribe to Elon Musk News https://t.co/uhzxzvIELZ"
"310","RT @BP_Hutch: @Gemstonian @GalileoMoon @TheChadColby @Astro_Clay @NASA @ShuttleAlmanac @SpaceX @universetoday @JuleahKaliski Here's a good…"
"311","RT @Vikezmedia: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/zlVXQhkaIW #VirtualRe…"
"312","The world’s most powerful operational #rocket is set to launch this summer. It could be a game changer! #Space
https://t.co/m2qCw7Peqj"
"313","SpaceX to hold second Hyperloop competition in August
https://t.co/S1hiMCJiq5
via @venturebeat https://t.co/Z9pGyyTLnq"
"314","RT @SpaceX: More photos from today’s Falcon 9 launch and first stage landing → https://t.co/095WHX44BX https://t.co/c3UYhMrDec"
"315","RT @Clapway: #SpaceX to Grow Super #Potatoes on #Mars: 5 Things You Didn’t Know - https://t.co/tbfxG5YF9l #Space https://t.co/PuUplVevyF"
"316","@ElonMuskNewsOrg GREAT NEWS! GO SPACEX GO!"
"317","RT @SpaceX: ~60 minutes until launch window for SES-10 opens. All systems and weather are go. Watch here → https://t.co/gtC39uBC7z https://…"
"318","The latest The SpaceX Daily! https://t.co/IpUHfGCZW0 Thanks to @GregWAutry #atlasv #oa7"
"319","@Forbes  @ElonMusk could buy it with #SpaceX. Fits into his strategy."
"320","@elonmusk @SpaceX @TeslaMotors Please pay heed to this advice. Pre-nup agreement. The worlds future depends on it. https://t.co/x7Vb8gMjXS"
"321","RT @Step_Holt: ""#SpaceX F9 - #Launch and #landing profile for the launch this evening"" #space #cosmos #nasa #universe https://t.co/epdJFC89…"
"322","""#SpaceX F9 - #Launch and #landing profile for the launch this evening"" #space #cosmos #nasa #universe https://t.co/epdJFC89hM"
"323","RT @SpaceX: More photos from today’s Falcon 9 launch and first stage landing → https://t.co/095WHX44BX https://t.co/c3UYhMrDec"
"324","@JessicaChobot @Bizarre_States SpaceX???"
"325","@SpaceX  че там .????ыным"
"326","#startup Elon Musk Has Announced a New Goal for SpaceX, and It’s Utterly Revolutionary https://t.co/HzFPeULPCa… https://t.co/6RCHMeumeH"
"327","@xabier_iglesias Me lo había planteado! Yo invertiría en todo lo que Musk haga para hacer caja. Pero creo que Space… https://t.co/DJneBU2Pyp"
"328","RT @DorkyMcDarkFace: Was born on the exact same day as Evan Spiegel.
Snapchat's valuation is more than SpaceX's.
I OTOH tweet about reusabl…"
"329","@TimOster @SpaceX @elonmusk Notice the convenient blurred view as it went through the magic layers? Watch some SFX tutorials. Classic trick."
"330","@TimOster @SpaceX @elonmusk As I read all the comments of ""Amazing"" I am just sad. You people never played a physic… https://t.co/ZHmOp1HsU3"
"331","Who Is SpaceX? https://t.co/6iuc0vsPGP #whoispacex #spacex https://t.co/RdC7PLerqo"
"332","SpaceX announces details for the second Hyperloop Pod Competition Weekend, taking ... via @launchticker https://t.co/zIPcLy2wKK"
"333","RT @MTWorlds: Carry your own #SpaceTourism in #InterstellarTransportCompany Just like #SpaceX plans to do! #indiegame #indiedev https://t.c…"
"334","RT @MTWorlds: Carry your own #SpaceTourism in #InterstellarTransportCompany Just like #SpaceX plans to do! #indiegame #indiedev https://t.c…"
"335","@elonmusk Elon Musk Spacex TodayToo want to give free 25 million usa dollar donations 
ToIGabriella InSimiCity-same… https://t.co/IpzqlfKLzR"
"336","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"337","RT @BP_Hutch: @Gemstonian @GalileoMoon @TheChadColby @Astro_Clay @NASA @ShuttleAlmanac @SpaceX @universetoday @JuleahKaliski Here's a good…"
"338","RT @SpaceX: Updated SES-10 launch and landing photos → https://t.co/095WHWMtKp https://t.co/cCD2eaOVvP"
"339","RT @TheChadColby: Taken from an F-16 chase plane, thank you to so many who chased dreams!  @Astro_Clay #SpaceShuttle @NASA @ShuttleAlmanac…"
"340","RT @HigherOrbits: Talking about the future of space flight including commercial with @SpaceX @OrbitalATK @SierraNevCorp as well as @NASA_SL…"
"341","RT @SpaceX: T-60 seconds until launch  → https://t.co/gtC39uBC7z https://t.co/jv3372rCUf"
"342","RT @HigherOrbits: Talking about the future of space flight including commercial with @SpaceX @OrbitalATK @SierraNevCorp as well as @NASA_SL…"
"343","RT @bitinn: SpaceX有两艘用于迎接降落火箭的海上移动运输船。名字分别是：
- Just Read the Instructions
- Of Course I Still Love You https://t.co/GQsxHPIns8"
"344","with SpaceX"
"345","@xImmunity I'll meet you at the SpaceX launch?"
"346","Spacex schedules hyperloop ii contest in august, and uw’s team is in the race https://t.co/XeQGyipZew"
"347","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"348","RT @ElonMuskNewsOrg: SpaceX prepping for two launches from KSC, landing at Cape https://t.co/CgpiPWSccq"
"349","@KevoDatWayGhost Have you seen our cool Tesla &amp; SpaceX Themed Apparel? https://t.co/pUOWG44uAR"
"350","@BeatrizAndrino Get our curated publication on Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, and OpenAI https://t.co/uhzxzvIELZ"
"351","Ed Sheeran - What Do I Know? [Official Audio]  #spacex https://t.co/uhRmI4NUPV"
"352","RT @ElonMuskNewsOrg: Get our curated publication on Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, and OpenAI -&gt; https://t.co/uhzxzvIELZ h…"
"353","SpaceX Awaits FAA Falcon 9 Launch License for 1st Pad 39A Blastoff on NASA ISS Cargo Flight - Universe Today https://t.co/MnVyK0nZAY"
"354","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"355","RT @AmplifiedRobot: SpaceVR and SpaceX are sending a VR camera to space, to bring the ‘real’ experience to everyone #VirtualReality #VR
htt…"
"356","Claro que a Turquia acabou de voluntariamente dar mais poderes a um ditador… Quando é que o @SpaceX fica pronto para poder fugir para marte?"
"357","SpaceX Falcon XX Rocket https://t.co/8Yqkg8RiBN via @YouTube"
"358","did the guy on the SpaceX stream just compared Mars to a desert filled with like 30% battery on my phone fml"
"359","That Whole #SpaceX Vs ULA Thing https://t.co/kJYx9wX3Ow #space"
"360","SpaceX makes history with launch and landing of reused rocket https://t.co/NJgj76Tb8F vía @the_dwc ♥"
"361","How (and Why) SpaceX Will Colonize Mars - Page 4 of 5 - Wait But Why | Page 4 https://t.co/wQArWNUR4z via @waitbutwhy"
"362","$900 stilettos invented by ex SpaceX exec — ""most comfortable high heels I've ever worn"" ������������������ #shoes https://t.co/gBlJt3GruM"
"363","RT @denbizjournal: .@ulalaunch will hit a turning point this summer, having shrunk to the size it needs to compete w/ SpaceX. (Premium) htt…"
"364","This looks pretty rad @SpaceX x @HyperloopOne competition 

https://t.co/MOaPbGp3yG"
"365","RT @Subsplott: Just cuz. ������ @SpaceX @AnonUKRadio @grampytm @V3rbalRand0ms https://t.co/scApMy9oxi"
"366","Legendary flight director praises SpaceX for “taking risks” https://t.co/L21V5ekoC8"
"367","Just cuz. ������ @SpaceX @AnonUKRadio @grampytm @V3rbalRand0ms https://t.co/scApMy9oxi"
"368","RT @ElonMuskNewsOrg: Get our curated publication on Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, and OpenAI -&gt; https://t.co/uhzxzvIELZ h…"
"369","@NathanpnRBLX SpaceX!!"
"370","Tous astronautes avec la futur camera spatiale en #RealiteVirtuelle de @SpaceVR + @SpaceX #VR ?
https://t.co/d3RHpG1ua9"
"371","RT @TeamHyperlynx: Donuts and design #hyperloop #spacex #cudenver https://t.co/d9F3aVOSLL"
"372","Aussie engineers unveil their entry in the SpaceX Hyperloop Pod Competition https://t.co/8ujdi5sq0e #tech"
"373","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"374","@ZacharyLevi your impression of @elonmusk (I'd love to see him @ #NerdHQ), SpaceX."
"375","RT @TheChadColby: Taken from an F-16 chase plane, thank you to so many who chased dreams!  @Astro_Clay #SpaceShuttle @NASA @ShuttleAlmanac…"
"376","For the first time ever, NASA has been relying on private companies like Elon Musk's SpaceX  https://t.co/kMR7tCLEzg https://t.co/SYi2vDF2p0"
"377","RT @selena_scola: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/qGqhVVwiwd via @mas…"
"378","RT @AmplifiedRobot: SpaceVR and SpaceX are sending a VR camera to space, to bring the ‘real’ experience to everyone #VirtualReality #VR
htt…"
"379",".@SpaceVR &amp; @SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/oJJ9FjLTM9"
"380","RT @SalihSarikaya: SpaceX is taking SpaceVR’s cameras into orbit to deliver the astronaut experience to everyone through VR https://t.co/6y…"
"381","RT @AmplifiedRobot: SpaceVR and SpaceX are sending a VR camera to space, to bring the ‘real’ experience to everyone #VirtualReality #VR
htt…"
"382","Science night at cosmic brewery #spacex @ Cosmic Brewery https://t.co/bO3uGFMzDI"
"383","Elon Musk's SpaceX Makes Space History With Recycled Rocket https://t.co/2M0vXujCJx"
"384","RT @AmplifiedRobot: SpaceVR and SpaceX are sending a VR camera to space, to bring the ‘real’ experience to everyone #VirtualReality #VR
htt…"
"385",".@ulalaunch will hit a turning point this summer, having shrunk to the size it needs to compete w/ SpaceX. (Premium) https://t.co/iJm1AfsBR8"
"386","RT @TheChadColby: Taken from an F-16 chase plane, thank you to so many who chased dreams!  @Astro_Clay #SpaceShuttle @NASA @ShuttleAlmanac…"
"387","RT @Orillacosmica: Sobre las dudas de que SpaceX llegue a Marte https://t.co/OKizDfpSB0"
"388","RT @Orillacosmica: Sobre las dudas de que SpaceX llegue a Marte https://t.co/OKizDfpSB0"
"389","#SpaceX will send unmanned Dragon capsule to Mars in May 2018 #startups #funding #vc #space https://t.co/W8hCg2JBjy https://t.co/3eEQBJPOyN"
"390","https://t.co/QlsPBeDnse"
"391","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"392","@NasaMuzik 
@NASA 
@AncientAliens 
@SpaceX 
@SpaceXJobs  
@unsealed_files 
@CIA 
@FBI 
@GMA 
@realDonaldTrump 
@POTUS 
@NFL 
@NBA 
@XXL"
"393","@SpaceX could u use a railgun to shoot very small matter into space (matter stream) and assemble it in space?"
"394","RT @TheChadColby: Taken from an F-16 chase plane, thank you to so many who chased dreams!  @Astro_Clay #SpaceShuttle @NASA @ShuttleAlmanac…"
"395","RT @glxp: An awesome goal from #SpaceX: https://t.co/7ujtb94riZ @SPACEdotcom @MichaelDWall"
"396","RT @TeamHyperlynx: Donuts and design #hyperloop #spacex #cudenver https://t.co/d9F3aVOSLL"
"397","@TifanyEllerd Get our curated publication about Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, &amp; OpenAI https://t.co/uhzxzvIELZ"
"398","@InsideEVs EDITORS NOTE/
Woah!
@DragTimes, Has @ElonMusk Proposed 'Mother Of All Drags'? 
@TeslaMotors #TeslaModelS… https://t.co/2K0IOhYnHx"
"399","Elon Musk: A Million Humans Could Live on Mars By the 2060s - National Geographic https://t.co/JXUgjHRO4q"
"400","@TimOster @SpaceX @elonmusk More Bullshit graphics from the spaceapes??"
"401","SpaceX Reusable Launch System https://t.co/CLpZiyLiUi via @YouTube"
"402","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"403","RT @acambitsis: https://t.co/zMYIoSuprE"
"404","RT @SpaceX: Back live for final burn and satellite deployment → https://t.co/gtC39uBC7z"
"405","SpaceX успешно вывела спутник связи на орбиту"
"406","SpaceVR, SpaceX to launch VR camera into space in August https://t.co/TL0b1NlxUl https://t.co/F0AHsLByfl"
"407","RT @TomHall: Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t…"
"408","RT @BP_Hutch: @Gemstonian @GalileoMoon @TheChadColby @Astro_Clay @NASA @ShuttleAlmanac @SpaceX @universetoday @JuleahKaliski Here's a good…"
"409","Up Close &amp; Personal

with @Boeing’s New

""Skinny"" Spacesuit.

Built for #Space #Tourism!

������

#Travel #SpaceX #Travel
https://t.co/5UDVCUNdpW"
"410","RT @forthelaunch: Falcon Heavy by @SpaceX planned to launch next year. https://t.co/AmNpmtysIY"
"411","Have you seen all there is to see on Earth? Why not travel to the moon? #SpaceX is taking tourists there in 2018.… https://t.co/K2CkVLdSlK"
"412","Elon Musk: A Million Humans Could Live on Mars By the 2060s - National Geographic https://t.co/6jx7pZp9lT"
"413","Elon Musk: A Million Humans Could Live on Mars By the 2060s - National Geographic https://t.co/tD1QfZvkaT"
"414","Just found a mark up on the floor. ������������.
https://t.co/GveC0axhVv #lifting  #SpaceX https://t.co/lCDQgDd60R"
"415","RT @CineDern: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/H9haMVqtx4 via @mashable"
"416","So after I've sold the first company, shorted it, and then sold the second one, I'll be able to start my own SpaceX clone"
"417","@elonmusk - do your Mars plans involve terraforming? Forget About Terraforming Mars. Here's Why. - Seeker #SpaceX https://t.co/0Cm1U8j4XE"
"418","SpaceX to hold second Hyperloop competition in August
https://t.co/3qWMVO2Nq8 https://t.co/kMCi0d4KhP"
"419","RT @NiskanenCenter: #SpaceX has demonstrated reusable rockets. Can they land enough customers? https://t.co/FujR2tJBVp https://t.co/aKXHq04…"
"420","RT @mashabletech: This VR camera rig is about to catch a ride into space. https://t.co/OvkXIDaVIX"
"421","RT @ValaAfshar: My proceeds from PayPal were $180m. I put $100m in #SpaceX, $70m in Tesla and $10m in Solar City. I had to borrow money for…"
"422","https://t.co/zMYIoSuprE"
"423","This specialized zip line can rescue astronauts from boeing’s spacecraft during an emergency… https://t.co/AES0fG7O0a"
"424","Legendary flight director praises SpaceX for “taking risks”
https://t.co/ac9rhMordp https://t.co/Vt9lG6FosK"
"425","What do #SpaceX and #NorthKorea have in common? They both know how to spend loads of money on fucking up launches #nkorea"
"426","Could NASA Beat SpaceX in the Next Space Race? | Fox Business.. Related Articles: https://t.co/lusrPq9VUe"
"427","SpaceX’s Mars Colonial Transporter can go “well beyond” Mars https://t.co/tqSPVfHdRO"
"428","RT @ElonMuskNewsOrg: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/enbGyXe7Ok"
"429","apparently my cousin got a job offer from spacex. why can't i be that smart?"
"430","SpaceX prepping for two launches from KSC, landing at Cape - https://t.co/8bQMZHdAvZ"
"431","RT @WarVet_MarsOne: SpaceX: Wants you to go to Mars for $200,000 
https://t.co/yVXtaiPlPP
#spacex #mars #nasa #esa #marsone #science #ellon…"
"432","SpaceX Accomplishes American ‘Science Triumph’ with ‘Mind Blowing’ Historic 2nd Launch and Landing of Us… https://t.co/BfeAnc3Cbu"
"433","RT @Vikezmedia: SpaceVR, SpaceX to launch VR camera into space, bringing the astronaut experience to all https://t.co/zlVXQhkaIW #VirtualRe…"
"434","SpaceX's Of Course I Still Live You droneship. https://t.co/lM7qCxgUWi"
"435","RT @StartUscc: “If things are not failing, you are not innovating enough.” #ElonMusk, CEO of #SpaceX and #Tesla Motors https://t.co/DHKSqGd…"
"436","SpaceX Dragon V2 | Flight Animation https://t.co/xEsmkWRgfe via @YouTube"
"437","RT @PelicanProducts: Here's Why the @SpaceX Launch Means We've Entered a New Era of #Space flight. https://t.co/NbImTIY8qI #Science #Space…"
"438","Here's Why the @SpaceX Launch Means We've Entered a New Era of #Space flight. https://t.co/NbImTIY8qI #Science #Space #Nasa #SpaceX"
