"","latitude","longitude","freq"
"214",7.25167,124.24389,1
"215",7.25256,5.19312,1
"216",7.38778,3.89639,2
"217",7.5,4.5,1
"218",7.76694,-72.225,1
"219",7.83333,3.73333,3
"220",7.88782,-67.47236,1
"221",7.96667,-80.43333,1
"222",8,-66,77
"223",8.1,-1.2,1
"224",8.12923,-63.54086,2
"225",8.29829,-62.72198,3
"226",8.43333,99.96667,1
"227",8.5,-71.16667,1
"228",8.5,4.55,3
"229",8.62261,-70.20749,3
"230",8.81667,48.83333,6
"231",9,-80,11
"232",9,-64.5,2
"233",9.03333,-79.5,4
"234",9.06853,7.48375,13
"235",9.16667,-69.25,2
"236",9.30472,-75.39778,1
"237",9.40107,-75.40058,1
"238",9.56667,122.6,4
"239",9.75,-63.17667,1
"240",9.93333,-84.08333,2
"241",10,-84,2
"242",10,-67.16667,2
"243",10,6,3
"244",10,8,37
"245",10,76.5,1
"246",10.00236,-84.11651,2
"247",10.00858,139.72137,2
"248",10.02082,-68.14982,2
"249",10.07389,-69.32278,2
"250",10.08,-69.12611,2
"251",10.16202,-68.00765,2
"252",10.16667,-68.08333,1
"253",10.19635,-71.30818,1
"254",10.24694,-67.59583,4
"255",10.34447,-67.04325,2
"256",10.38828,-71.43992,1
"257",10.43337,-66.98313,1
"258",10.46354,-64.1775,1
"259",10.46736,-66.60663,2
"260",10.47596,3.90072,1
"261",10.48801,-66.87919,33
"262",10.49598,-66.85347,1
"263",10.52224,7.43828,1
"264",10.56667,-66.9,1
"265",10.5673,18.507,1
"266",10.63167,-71.64056,4
"267",10.66667,107.78333,3
"268",10.66781,-63.25849,1
"269",10.75,1.66667,12
"270",10.75,106.66667,1
"271",10.7744,76.65625,1
"272",10.8155,78.69651,2
"273",10.9587,123.9234,1
"274",10.96854,-74.78132,1
"275",11,-61,1
"276",11.14165,-74.11712,1
"277",11.5,42.5,1
"278",11.5221,13.68558,2
"279",11.6956,-70.19957,1
"280",11.7594,9.33921,1
"281",12.00012,8.51672,1
"282",12.1084,-68.93354,2
"283",12.16667,6.25,1
"284",12.16688,-68.96667,1
"285",12.97194,77.59369,3
"286",13,-85,5
"287",13,122,10
"288",13.08784,80.27847,3
"289",13.35,74.78333,1
"290",13.6291,46.126,1
"291",13.75398,100.50144,5
"292",13.83333,-88.91667,1
"293",14.6042,120.9822,1
"294",14.64072,-90.51327,2
"295",15,-86.5,3
"296",15,100,1
"297",15.13333,-89.3,8
"298",15.15,120.58333,3
"299",15.23,-87.23,1
"300",15.38111,-12.35556,2
"301",15.4,-87.8,1
"302",15.40927,73.78868,1
"303",15.5,-90.25,2
"304",15.5,-61.33333,1
"305",16,30,1
"306",16,79,1
"307",16.06778,108.22083,1
"308",16.41639,120.59306,1
"309",16.60807,-95.98034,1
"310",16.77348,-3.00742,5
"311",16.86336,-99.8901,1
"312",17.07108,-96.71914,2
"313",17.25,-88.75,4
"314",17.33333,-62.75,1
"315",17.38405,78.45636,3
"316",17.8981,-92.6683,1
"317",17.97747,-66.29795,2
"318",17.98689,-92.93028,1
"319",18.00126,-94.5581,1
"320",18.08581,-15.9785,2
"321",18.08829,-96.12982,1
"322",18.12857,-66.10961,5
"323",18.24829,-66.49989,1
"324",18.25,-77.5,1
"325",18.35329,-64.93653,2
"326",18.36667,-74.26667,1
"327",18.46148,-97.39282,2
"328",18.51957,73.85535,3
"329",19,-72.41667,1
"330",19,-70.66667,16
"331",19.04334,-98.20193,2
"332",19.05011,-104.31879,1
"333",19.07283,72.88261,26
"334",19.28786,-99.65324,1
"335",19.3,-70.2,1
"336",19.3467,-99.16174,3
"337",19.42847,-99.12766,25
"338",19.44506,-99.14612,3
"339",19.50611,-154.91194,1
"340",19.51971,-99.25718,1
"341",19.61725,-99.06601,2
"342",19.640556,-155.995556,3
"343",19.66667,-88.5,1
"344",19.7,105.78333,3
"345",19.70078,-101.18443,3
"346",19.88333,75.33333,1
"347",19.98912,-102.28477,2
"348",20,-70,1
"349",20,-12,1
"350",20,77,34
"351",20.11697,-98.73329,2
"352",20.236567,-155.836735,2
"353",20.237312,-155.830552,7
"354",20.24232,-155.83323,5
"355",20.33333,-103.66667,2
"356",20.33738,-102.28342,1
"357",20.51499,-100.9967,1
"358",20.6,-100.38333,3
"359",20.62041,-105.23066,1
"360",20.66682,-103.39182,1
"361",20.75028,-156.50028,1
"362",20.86774,-156.61706,2
"363",20.904275,-156.373506,1
"364",20.90992,-97.67469,1
"365",20.9767,-89.62059,6
"366",21.17429,-86.84656,2
"367",21.2694,-157.69052,1
"368",21.45543,-157.96138,3
"369",21.51694,39.21917,1
"370",21.64519,-157.92324,1
"371",22.14993,-100.9828,2
"372",22.28552,114.15769,2
"373",22.43103,69.89982,2
"374",22.56263,88.36304,2
"375",22.70139,-80.79806,1
"376",22.76843,-102.58141,1
"377",23,-102,43
"378",23,72,1
"379",23.02579,72.58726,2
"380",23.11667,113.25,4
"381",23.13302,-82.38304,1
"382",23.2329,-106.40616,1
"383",23.40232,89.01374,1
"384",23.7104,90.40744,1
"385",24,-98.75,1
"386",24,54,5
"387",24,90,2
"388",24,121,1
"389",24.46667,54.36667,3
"390",24.49215,-12.65625,1
"391",24.561353,-81.909735,2
"392",24.66684,-99.67198,1
"393",24.68773,46.72185,2
"394",24.859832,-168.021815,1
"395",24.9056,67.0822,4
"396",24.976242,-80.552284,1
"397",25,-107.5,1
"398",25,45,5
"399",25.06765,55.30557,1
"400",25.22231,55.17181,22
"401",25.25817,55.30472,4
"402",25.27932,51.52245,1
"403",25.33737,55.41206,1
"404",25.447563,-80.537937,1
"405",25.54333,-103.4176,2
"406",25.60222,85.11936,2
"407",25.60339,-108.47935,1
"408",25.67506,-100.31846,3
"409",25.693713,-80.162825,1
"410",25.712601,-80.256995,2
"411",25.72149,-80.26838,1
